,conc_water,conc_co2,conc_nh3,r_1,g_1,b_1,r_4,g_4,b_4,r_23,g_23,b_23,r_145,g_145,b_145
500_500_1900_6,19.0,5,5,242.00851063829788,213.21418439716317,200.26099290780144,225.79024390243904,210.7788617886179,233.8260162601626,229.55967078189303,207.7407407407408,227.2098765432099,225.9965811965812,151.33162393162394,152.3948717948718
500_500_1900_7,19.0,5,5,241.3985815602837,213.78297872340423,199.78865248226955,226.0910569105691,210.5219512195122,233.4,229.71604938271608,208.0740740740741,227.6255144032922,227.03931623931624,151.04273504273505,152.2940170940171
500_500_1900_8,19.0,5,5,242.2198581560284,213.63971631205675,200.43687943262407,225.6439024390244,210.4439024390244,233.2894308943089,229.39094650205763,207.7407407407408,227.1769547325103,226.51111111111112,151.14871794871794,152.0974358974359
500_500_1900_9,19.0,5,5,241.49645390070924,213.70212765957447,200.43687943262407,226.6991869918699,210.2894308943089,233.33333333333331,228.7448559670782,207.38683127572017,228.02057613168725,226.8068376068376,151.14871794871794,152.05299145299145
2000_500_1900_0,19.0,20,5,237.08794326241136,202.0368794326241,194.2241134751773,221.25691056910568,207.6959349593496,219.7642276422764,224.81481481481484,204.31687242798355,226.44444444444449,223.73504273504275,165.23760683760685,156.0034188034188
2000_500_1900_1,19.0,20,5,238.93049645390076,201.4581560283688,195.0780141843972,221.99349593495936,206.5788617886179,220.82276422764227,225.4156378600823,204.37860082304528,225.9835390946502,223.73504273504275,165.38119658119658,156.43247863247862
2000_500_1900_2,19.0,20,5,236.72056737588653,202.4241134751773,194.78297872340423,221.43252032520328,207.1788617886179,220.0455284552845,225.4156378600823,204.41152263374488,226.02880658436217,223.948717948718,165.37777777777777,156.0837606837607
2000_500_1900_3,19.0,20,5,238.2624113475177,202.78865248226955,195.0822695035461,220.43414634146345,207.6959349593496,219.7642276422764,225.65432098765436,204.73251028806587,226.32510288065845,223.73504273504275,165.33333333333334,155.43760683760684
2000_500_1900_4,19.0,20,5,237.0184397163121,202.8624113475177,194.5858156028369,220.00650406504064,207.66666666666663,220.73658536585367,225.5308641975309,204.5843621399177,225.90123456790124,223.4923076923077,164.9059829059829,155.55042735042736
2000_500_1900_5,19.0,20,5,238.0127659574468,201.8567375886525,194.78297872340423,221.43252032520328,207.3219512195122,219.8471544715447,225.4156378600823,204.2962962962963,225.87654320987656,223.4923076923077,165.66666666666666,156.4564102564103
2000_500_1900_6,19.0,20,5,238.93049645390076,202.33049645390076,194.2241134751773,221.25691056910568,207.27642276422765,220.4878048780488,225.30041152263377,204.46913580246917,226.1399176954733,223.93504273504277,164.9059829059829,156.43247863247862
2000_500_1900_7,19.0,20,5,238.0127659574468,202.4241134751773,194.73475177304965,220.00650406504064,207.1788617886179,220.82276422764227,225.30041152263377,204.30041152263377,225.9670781893004,224.23076923076923,165.37777777777777,156.1094017094017
2000_500_1900_8,19.0,20,5,238.2624113475177,201.76879432624116,194.2241134751773,220.51869918699188,206.9837398373984,220.4439024390244,224.7695473251029,204.05349794238683,225.8353909465021,224.23076923076923,165.28547008547008,155.55042735042736
